私,わたし,I
買います,かいます,Buy
撮ります,とります,Take (a photograph)
会います,あいます,Meet
ごはん,ごはん,Meal
朝ごはん,あさごはん,Breakfast
昼ごはん,ひるごはん,Lunch
晩ごはん,ばんごはん,Dinner
卵,たまご,Egg
肉,にく,Meat
魚,さかな,Fish
野菜,やさい,Vegitable
果物,くだもの,Fruit
水,みず,Water
お茶,おちゃ,Green tea
紅茶,こうちゃ,Black tea
牛乳,ぎゅうにゅう,Milk
「お」酒,「お」さけ,Japanese rice wine
映画,えいが,Movie
手紙,てがみ,Letter
写真,しゃしん,Photograph
店,みせ,Store
庭,にわ,Garden
宿題,しゅくだい,Homework
「お」花見,「お」はなみ,Cherry Blossem viewing
いっしょに,いっしょに,Together
ちょっと,ちょっと,"A little while, a little bit"
いつも,いつも,"Always, usually"
時々,ときどき,Sometimes
それから,それから,"After that, and then"
きゅうり,きゅうり,Cucumber
茄子,なす,Egg plant
豆,まめ,"Beans, peas"
ねぎ,ねぎ,Welsh onion
白菜,はくさい,Chinese cabbage
ほうれん草,ほうれんそう,Spinach
しゃがい芋,しゃがいも,Potato
大根,だいこん,Japanese radish
玉ねぎ,たまねぎ,Onion
人参,にんじん,Carrot
苺,いちご,Strawberry
桃,もも,Peach
西瓜,すいか,Watermelon
葡萄,ぶどう,Grape
梨,なし,Japanese pear
柿,かき,Persimmon
みかん,みかん,Mandarin Orange
りんご,りんご,Apple
米,こめ,Rice
切ります,きります,"Cut, Slice"
送ります,おくります,Send
あげます,あげます,Give
もらいます,もらいます,Receive
貸します,かします,Lend
借ります,かります,Borrow
教えます,おしえます,Teach
習います,ならいます,Learn
かけます,かけます,Make (a telephone call)
手,て,Arm
はし,はし,Chopsticks
はさみ,はさみ,Scissors
紙,かみ,Paper
花,はな,Flower
荷物,にもつ,"Baggage, Parcel"
お金,おかね,Money
切符,きっぷ,Ticket
父,ちち,(my) Father
母,はは,(my) Mother
お父さん,おとうさん,(someone else's) Father
お母さん,おかあさん,(someone else's) Mother
もう,もう,Already
まだ,まだ,Not yet
これから,これから,"From now on, soon"
ごめんください。,ごめんください。,"Excuse me, Anybody home?"
いらっしゃい。,いらっしゃい。,Welcome
失礼します。,しつれいします。,Thank you. lit: I'm afraid I'll be bothering
いかがですか。,いかがですか。,Would you like to have [something]?
いただきます。,いただきます。,"Thankyou, Said before eating or drinking"
旅行,りょこう,"Trip, tour"
お土産,おみやげ,"Souvenir, present"
きれい「な」,きれい「な」,"Beautiful, Clean"
静か「な」,しずか「な」,Quiet
にぎやか「な」,にぎやか「な」,Lively
有名「な」,ゆうめい「な」,Famous
親切「な」,しんせつ「な」,Kind
元気「な」,げんき「な」,"Healthy, Cheerful"
暇「な」,ひま「な」,Free (time)
便利「な」,べんり「な」,Convenient
すてき「な」,すてき「な」,"Fine, nice, wonderful"
大きい,おおきい,"Big, large"
小さい,ちいさい,"Small, little"
新しい,あたらしい,New
古い,ふるい,Old
いい（よい）,いい（よい）,Good
悪い,わるい,Bad
暑い,あつい,Hot
寒い,さむい,Cold (referring to temporature)
冷たい,つめたい,Cold (referring to touch)
難しい,むずかしい,Difficult
易しい,やさしい,Easy
高い,たかい,"Expensive, tall"
安い,やすい,Inexpensive
低い,ひくい,Low
おもしろい,おもしろい,Interesting
おいしい,おいしい,"Delicious, tasty"
忙しい,いそがしい,Busy
楽しい,たのしい,"Enjoyable, fun"
白い,しろい,White
黒い,くろい,Black
赤い,あかい,Red
青い,あおい,Blue
桜,さくら,Cherry (blossom)
山,やま,Mountain
町,まち,Town
食べ物,たべもの,Food
車,くるま,"Car, vehicle"
所,ところ,Place
寮,りょう,Dormitory
勉強,べんきょう,Study
生活,せいがつ,Life
「お」仕事,「お」しごと,"Work, business"
どう,どう,How
どんな～,どんな～,What kind of ~
緑,みどり,Green
紫,むらさき,Purple
黄色い,きいろい,Yellow
茶色い,ちゃいろい,Brown
味,あじ,Taste
甘い,あまい,Sweet (taste)
辛い,からい,Hot (taste)
苦い,にがい,Bitter (taste)
塩辛い,しおからい,Salty (taste)
酸っぱい,すっぱい,Sour (taste)
濃い,こい,"Thick, strong (in taste)"
薄い,うすい,"Thin, weak (in taste)"
わかります,わかります,Understand
好き「な」,すき「な」,Like
嫌い「な」,きらい「な」,Dislike
上手「な」,じょうず「な」,Good at
下手「な」,へた「な」,Bad at
料理,りょうり,"Dish (cooked food), Cooking"
飲み物,のみもの,Drinks
野球,やきゅう,Baseball
音楽,おんがく,Music
歌,うた,Song
絵,え,"Picture, Drawing"
字,じ,"Letter, Character"
漢字,かんじ,Chinese character
細かいお金,こまかいおかね,Small Change
時間,じかん,Time
用事,ようじ,"Something to do, errand"
約束,やくそく,"Appointment, promise"
ご主人,ごしゅじん,(Someone else's) Husband
夫/主人,おっと/しゅじん,(my) Husband
奥さん,おくさん,(someone else's) Wife
妻/家内,つま/かない,(my) Wife
子ども,こども,Child
よく,よく,"Well, much"
だいたい,だいたい,"Mostly, roughly"
たくさん,たくさん,"Many, much"
少し,すこし,"A little, a few"
全然,ぜんぜん,Not at all (used with negatives)
早く,はやく,"Early, quickely, fast"
どうして,どうして,Why
残念です「ね」,ざんねんです「ね」,I'm sorry to hear that / that's a pitty
民謡,みんよう,Folk music
演歌,えんか,Traditional Japanese popular songs
喜劇,きげき,Comedy film
卓球,たっきゅう,Ping Pong
相撲,すもう,Sumo
柔道,じゅうどう,Judo
剣道,けんどう,Japanese Fencing
水泳,すいえい,Swimming
いろいろ「な」,いろいろ「な」,Various
男の人,おとこのひと,Man
女の人,おんなのひと,Woman
男の子,おとこのこ,Boy
女の子,おんなのこ,Girl
犬,いぬ,Dog
猫,ねこ,Cat
木,き,Tree
物,もの,Thing
電池,でんち,Battery
箱,ほこ,Box
冷蔵庫,れいぞうこ,Refridgerator
棚,たな,Shelf
窓,まど,Window
公園,こうえん,Park
喫茶店,きっさてん,Coffee Shop
本屋,ほんや,Book Shop
乗り場,のりば,Fixed place for taxies and buses
県,けん,Perfecture
上,うえ,"On, above, over"
下,した,"Under, below, beneath"
前,まえ,"Front, before"
うしろ,うしろ,"Back, Behind"
右,みぎ,Right
左,ひだり,Left
中,なか,"In, inside"
外,そと,Outside
隣,となり,"Next, next door"
近く,ちかく,"Near, vicinity"
間,あいだ,"Between, middle"
玄関,げんかん,Entrance hall
風呂場,ふろば,Bathroom
洗面所,せんめんじょ,Washroom
台所,だいどころ,Kitchen
食堂,しょくどう,Dining room
居間,いま,Living room
寝室,しんしつ,Bedroom
廊下,そうか,Hallway
います,います,"Have (a child), Stay, be"
かかります,かかります,Take (referring to time or money)
休みます,やすみます,Take a day off
一つ,ひとつ,One (universal counting of one)
二つ,ふたつ,Two of…
三つ,みっつ,Three of…
四つ,よっつ,Four of …
五つ,いつつ,Five of …
六つ,むっつ,Six of …
七つ,ななつ,Seven of…
八つ,やっつ,Eight of …
九つ,ここのつ,Nine of …
十,とお,Ten of …
いくつ,いくつ,How many
一人,ひとり,One person
二人,ふたり,Two persons
ー人,ーにん,Some number of people
ー台,ーだい,"Counter of machines, cars …"
ー枚,ーまい,"Counter of papers, stamps …"
ー回,ーかい,"Counter of period, number of times"
りんご,りんご,Apple
みかん,みかん,Orange
切手,きって,Postage Stamp
はがき,はがき,Post Card
封筒,ふうとう,Envelope
速達,そくたつ,Special delivery
書留,かきとめ,Registered mail
航空便,こうくうびん,Airmail
船便,ふなびん,Seamail
両親,りょうしｎ,Parents
兄弟,きょうだい,Brothers and Sisters
兄,あに,(my) elder Brother
お兄さん,おにいさん,(someone else's) elder Brother
姉,あね,(my) elder Sister
お姉さん,おねえさん,(someone else's) elder Sister
弟,おとうと,(my) younger Brother
弟さん,おとうとさん,(someone else's) younger Brother
妹,いもうと,(my) younger Sister
妹さん,いもうとさん,(someone else's) younger Sister
外国,がいこく,Foreign country
ー時間,ーじかん,… hours
ー週間,ーしゅうかん,… weeks
ーか月,ーかげつ,… months
ー年,ーねん,… years
～ぐらい,ーぐらい,about ~
どのくらい,どのくらい,How long?
全部で,ぜんぶで,In total
みんな,みんな,"All, everything"
～だけ,～だけ,only ~
天どん,てんどん,a bowl of rice with fried fish and vegitables
親子どん,おやこどん,a bowl of rice with chicken and egg
牛どん,ぎゅうどん,a bowl of rice with beef
焼肉,やきにく,Grilled meat
野菜いため,やさいいため,Sauteed vegetables
漬物,つけもの,Pickles
みそ汁,みそしる,Miso Soup
おにぎり,おにぎり,Rice ball
うどん,うどん,Japanese noodles
簡単「な」,かんたん「な」,"Easy, Simple"
近い,ちかい,Near
遠い,とおい,Far
速い,はやい,"Fast, Early"
遅い,おそい,"Slow, Late"
多い,おおい,"Many [People], Much"
少ない,すくない,"Few [People], a little"
暖かい,あたたかい,Warm
涼しい,すずしい,Cool
甘い,あまい,Sweet
辛い,からい,"Spicy, Hot (taste)"
重い,おもい,Heavy
軽い,かるい,Light (Weight)
いい,いい,Prefer (Coffee)
季節,きせつ,Season
春,はる,Spring
夏,なつ,Summer
秋,あき,Autumn
冬,ふゆ,Winter
天気,てんき,Weather
雨,あめ,Rain
雪,ゆき,Snow
曇り,くもり,Cloud
空港,くうこう,Airport
海,うみ,"Sea, Ocean"
世界,せかい,World
「お」祭り,「お」まつり,Festival
試験,しけん,Exam
生け花,いけばな,Arrangement (Flower)
紅葉,もみじ,"Red leaves in Autumn, Maple"
どちら,どちら,Which one (between two things)?
どちらも,どちらも,Both
ずっと,ずっと,By Far
ただいま,ただいま,I'm home
お帰りなさい,おかえになさい,Welcome home
でも,でも,But
疲れました,つかれました,(I'm) tired.
遊びます,あそびます,Enjoy one'sself
泳ぎます,およぎます,Swim
迎えます,むかえます,"Go to meet, Welcome"
疲れます,つかれます,Get tired
出します,だします,Send (a letter)
入ります,はいります,Enter (a coffee shop)
出ます,でます,Go out (of a coffee shop)
結婚します,けっこんします,Get married
買い物します,かいものします,Do shopping
食事します,しょくじします,"Have a meal, Dine"
散歩します,さんぽします,Take a walk
大変「な」,たいへん「な」,"Hard, Tough, Severe"
欲しい,ほしい,Want
寂しい,さびしい,Lonely
広い,ひろい,"Wide, Spacious"
狭い,せまい,"Narrow, Small"
市役所,しやくしょ,City Hall
経済,けいざい,Economy
美術,びじゅつ,Fine arts
釣り,つり,Fishing
会議,かいぎ,"Meeting, Conference"
登録,とうろく,Registration
週末,しゅうまつ,Weekend
何か,なにか,Something
どこか,どこか,Somewhere
おなかがすきました。,おなかがすきました。,(I'm) Hungry
おなかがいっばいです。,おなかがいっばいです。,(I'm) Full
のどがかわきました。,のどがかわきました。,(I'm) Thirsty
定食,ていしょく,Set meal
別々に,べつべつに,Seporately
博物館,はくぶつかん,Museum
美術館,びじゅつかん,Art Museum
図書館,としょかん,Library
映画館,えいがかｎ,Movie Theater
動物園,どうぶつえん,Zoo
植物園,しょくぶつえん,Botanical Garden
遊園地,ゆうえんち,Amusement park
教会,きょうかい,Christian Church
体育館,たいくかん,Gymnasium
公園,こうえん,Park
大使館,たいしかん,Embassy
入国管理局,にゅうこくかんりきょく,Immigration Bureau
交番,こうばん,Police Box
消防署,しょうぼしょ,Fire Station
駐車場,ちゅしゃじょう,Parking lot
大学,だいがく,University
高校,こうこう,Senior Highschool
中学校,ちゅうがっこう,Junior Highschool
小学校,しょうがっこう,Elementary School
幼稚園,とうちえん,Kindergarten
肉や,にくや,Butcher's Shop
魚屋,さかなや,Fishmonger's
酒屋,さかや,Liquor Shop
八百屋,やおや,Vegetable Shop
喫茶店,きっさてん,Coffee Shop
つけます,つけます,Turn on
消します,けします,Turn off
開けます,あけます,Open
閉めます,しめます,Close
急ぎます,いそぎます,Hurry
待ちます,まちます,Wait
止めます,とめます,"Stop, Park"
曲がります,まがります,Turn to a direction
持ちます,もちます,Hold
取ります,とります,"Take, Pass"
手伝います,てつだいます,Help (with a task)
呼びます,よびます,Call
話します,はなします,"Speak, Talk"
見せます,みせます,Show
教えます,おしえます,Tell
始めます,はじめます,"Start, Begin"
降ります,ふります,Rain
名前,なまえ,Name
住所,じゅうしゃ,Address
地図,ちず,Map
塩,しお,Salt
砂糖,さとう,Sugar
読み方,よみかた,Way of reading
ゆっくり,ゆっくり,"Slowly, Leisurely"
すぐ,すぐ,Immediately
また,また,Again
あとで,あとで,Later
もう少し,もうすこし,Alittle more
まっすぐ,まっすぐ,Straight
お釣り,おつり,Change
切符売り場,きっぶうりば,"Ticket office, Ticket area"
自動券売機,じどうけんばいき,Ticket machine
精算機,せいさんき,Fare adjustment machine
改札口,かいさつぐち,Ticket barrier
出口,でぐち,Exit
入口,いりぐち,Entrance
東口,ひがしぐち,East exit
西口,にしぐち,West exit
南口,みなみぐち,South exit
北口,きたぐち,North exit
中央口,ちゅうおうぐち,Central exit
売店,ばいてん,Kiosk
片道,かたみち,One way
往復,おうふく,Round trip
立ちます,たちます,Stand Up
座ります,すわります,Sit Down
使います,つかいます,Use
置きます,おきます,Put
作ります,つくります,"Make, Produce"
売ります,うります,Sell
知ります,しります,Get to know
住みます,すみます,be going to live
研究します,けんきょうします,do Research
知っています,しっています,Know
住んでいます,すんでいます,Live in a place
資料,しりょう,"Materials, Data"
時刻表,じこくひょう,Time Table
服,ふく,Clothes
製品,せいひｎ,Products
専門,せんもｎ,Speciality
歯医者,はいしゃ,"Dentist, Dentist's"
床屋,とこや,Barber
独身,どくしん,"Single, Unmarried"
特に,とくに,Especially
思い出します,おもいだします,Remember
会社員,かいしゃいん,Company Employee
公務員,こうむいん,Civil Servant
駅員,えきいん,Station Clerk
銀行員,ぎんこういん,Bank Clerk
郵便局員,ゆうびんきょくいん,Postman
店員,てんにん,Shop Clerk
調理師,ちょうりし,Cook
理容師,りようし,Barber
美容師,びようし,Beautician
教師,きょうし,Teacher
弁護士,べんごし,Lawyer
研究者,けんきゅうしゃ,Researcher
医者,いしゃ,Doctor
看護婦,かんごふ,Nurse
運転手,うんてんしゅ,Driver
警察官,けんさつかん,Police
外交官,がいこうかん,Diplomat
政治家,せいじか,Politician
画家,がか,Painter
作家,さっか,Author
音楽家,おんがくか,Musician
建築家,けんちくか,Architect
歌手,かしゅ,Singer
俳優,はいゆう,"Actor, Actress"
乗ります,のります,"Ride, get on"
降ります,おります,Get off
乗り換えます,のりかえます,Change (Trains)
浴びます,あびます,Take (a shower)
入れます,いれます,"Put in, Insert"
出します,だします,"Take out, withdraw"
入ります,はいります,Enter (a university)
出ます,でます,Graduate From
やめます,やめます,"Quit or retire from, stop, give up"
押します,おします,"Push, Press"
若い,わかい,Young
長い,ながい,Long
短い,みじかい,Short
明るい,あかるい,"Bright, Light"
暗い,くらい,Dark
背が高い,せがたかい,Tall (referring to a person)
頭がいい,あたまがいい,"Clever, Smart"
体,からだ,Body
頭,あたま,Head
髪,かみ,Hear
顔,かお,Face
目,め,Eye
耳,みみ,Ear
口,くち,Mouth
歯,は,Tooth
おなか,おなか,Stomach
足,あし,Leg
緑,みどり,"Green, Greenery"
｢お｣寺,「お」てら,Buddhist Temple
神社,じんじゃ,Shinto Shrine
留学生,りょうがくせい,Foreign Student
まず,まず,First of All
お引き出しですか。,おひきだしですか。,Are you making a withdrawal?
次に,つぎに,Next (as in next step)
お預け入れ,おあずけいれ,Deposit
お振込み,おふりこみ,Payment
お振り替え,おふりかえ,Transfer (Money)
お引き出しですか。,おひきだしですか。,Withdrawal
通表記入,つうちょうきにゅう,Updating Passbook
残高照会,ざんだかしょうかい,Balance Inquiery
暗所番号,おんしょうばんごう,Personal Identification number
覚えます,おばえます,Memorize
忘れます,わすれます,Forget
なくします,なくします,Lose
出します,だします,Hand in (a report)
払います,はらいます,Pay
返します,かえします,"Give Back, Return"
出かけます,でかけます,Go out
脱ぎます,ねぎます,Take off (Clothes)
持っていきます,もっていきます,Take (Something)
持ってきます,もってきます,Bring (Something)
心配します,しんぱいします,Worry
残業します,ざんぎょうします,Work overtime
出張します,しゅっちょうします,Go on a Business trip
大切「な」,たいせつ「な」,Important
大丈夫「な」,だいしょうぶ「な」,All right
危ない,あぶない,Dangerous
問題,もんだい,"Question, Problem, Trouble"
答え,こたえ,Answer
禁煙,きんえん,No Smoking
保険証,ほけんしょう,Insurance Card
かぜ,かぜ,"Cold, Flu"
熱,ねつ,Fever
病気,びょうき,Illness
薬,くすり,Medicine
「お」ふろ,「お」ふろ,Bath
上着,うわぎ,"Jacket, Outerwear"
下着,したぎ,Underwear
どうしましたか。,どうしましたか。,What Seems to be the problem?
頭が痛い,あたまがいたい,have a Headache
おなかが痛い,おなかが痛い,have a Stomachache
歯が痛い,はがいたい,have a Toothache
熱がある,ねつがある,have a Fever
せきが出る,せきがでる,have a Cough
鼻水が出る,はなみずがでる,have a Runny Nose
血が出る,ちがでる,Bleed
吐き気がする,はきけがする,feel Nauseous
寒気がする,さむけがする,feel a Chill
下痢をする,げりをすり,have Diarrhea
便秘をする,べんびをする,be Constipated
けがをする,けがをする,get Injured
やけどをする,やけどをする,Get Burnt
食欲がない,しょくよくがない,have No Appetite
肩がこる,かたがこる,feel Stiff in Shoulders
体がだるい,からだがだるい,feel Weary
かゆい,かゆい,Itchy
かぜ,かぜ,Cold
盲腸,むちょう,Appendicitis
ぎっくり腰,ぎっくりごし,Slipped Disk
ねんぎ,ねんぎ,Sprain
骨折,こつせつ,Bone Fracture
二日酔い,ふつかよい,Hangover
めまいがする,めまいがする,feel Dizzy
できます,できます,"Be able to, can"
洗います,あらいます,Wash
弾きます,ひきます,Play (instrument or piano)
歌います,うたいます,Sing
集めます,あつめます,"Collect, Gather"
捨てます,すてます,Throw away
換えます,かえます,"Exchange, Change"
運転します,うんてんします,Driving
予約します,よやくします,"Reserve, Book"
見学します,けんがくします,Visit some place for Study
国際~,こくさい~,International ~
現金,げんきん,Cash
趣味,しゅみ,Hobby
日記,にっき,Diary
「お」祈り,「お」いのり,Prayer
課長,かちょう,Section Chief
部長,ぶちょう,Department Chief
社長,しゃちょう,President of a Company
とうぶつ,とうぶつ,Animal
馬,うま,Horse
ぱくじょう,ぱくじょう,"Ranch, Stock Farm"
ほんとうですか。,ほんとうですか。,Really?
ぜひ,ぜひ,By all means
飛ぶ,とぶ,Fly
跳ぶ,とぶ,Jump
登る,のぼる,Climb
走る,ほしる,Run
泳ぐ,およぐ,Swim
もぐる,もぐる,Dive
飛び込む,とびこむ,Dive in to
逆立ちする,さかだちする,Stand upside down
はう,はう,Crawl
ける,ける,Kick
振る,ふる,Wave
投げる,なげる,Throw
持ち上げる,もちあげる,Lift
たたく,たたく,Pat
引く,ひく,Pull
押す,おす,Push
曲げる,もげる,Bend
伸ばす,のばす,Extend
転ぶ,こるぶ,Fall Down
振り向く,ふりむく,Look Back
登ります,のぼります,Climb (a mountain)
泊まります,とまります,Stay (at a hotel)
掃除します,そじします,Clean (a room)
洗濯します,せんたくします,Wash (Clothes)
練習します,れんしゅうします,Practice
なります,なります,Become
眠い,ねむい,Sleepy
強い,つよい,Strong
弱い,よわい,Break
調子がいい,ちょうしがいい,Be in Good condition
調子が悪い,ちょうしがわるい,Be in Bad condition
調子,ちょうし,Condition
お茶,おちゃ,Tea Ceremony
一度,いちど,Once
一度も,いちども,"Not Once, Never"
だんだん,だんだん,Gradually
もうすぐ,もうすぐ,Soon
おかげさまで,おかげさまで,Thankyou (expressing gratitude for help)
乾杯,かんばい,Bottoms up/Cheers
要ります,いります,"Need, Require (a passport)"
調べます,しらべます,"Check, Investigate"
直します,なおします,"Repair, Collect"
修理します,しゅりします,Repair
電話します,でんわします,Phone
僕,ぼく,Informal way of saying I (for men)
君,きみ,Informal way of saying you (for men)
～君,～くん,Informal way of saying Mr. (for men)
うん,うん,Informal way of saying Yes
ううん,ううん,Informal way of saying No
ことば,ことば,"Word, Language"
物価,ぶっか,Commodity prices
着物,きもの,Kimono
初め,はじめ,The beginning
終わり,おわり,The end
こっち,こっち,Informal of こちら
そっち,そっち,Informal of そちら
あっち,あっち,Informal of あちら
どっち,どっち,Informal of どちら
この間,このあいだ,The other way
みんなで,みんなで,All together
～けど,～けど,"Informal of ~, but"
思います,おもいます,Think
言います,いいます,Say
足ります,たります,"be enough, be sufficient"
勝ちます,かちます,Win
負けます,まけます,Loose
役に立ちます,やくにたちます,be useful
むだ「な」,むだ「な」,Wasteful
不便「な」,ふべん「な」,Inconvenient
同じ,おなじ,The same
すごい,すごい,"Great, Awful"
首相,しゅしょう,Prime minister
大統領,だいとりょう,President
政治,せいじ,Politics
